"fecha_hora","PM10","PM2_5","PM1_0"
2025-06-19 13:40:19,2.5,0.6,0.2
2025-06-19 13:41:19,1.8,0.6,0.2
2025-06-19 13:42:19,1.4,0.5,0.2
2025-06-19 13:43:19,0.3,0.1,0.1
2025-06-19 13:44:19,0.6,0.1,0.1
2025-06-19 13:45:19,0.7,0.1,0.1
2025-06-19 13:46:19,0.3,0.1,0
2025-06-19 13:47:19,0.4,0.1,0
2025-06-19 13:48:19,0.1,0.1,0
2025-06-19 13:49:19,0.5,0.1,0
2025-06-19 13:50:19,0.8,0.3,0.1
2025-06-19 13:51:19,0.8,0.2,0.1
2025-06-19 13:52:19,0.9,0.3,0.1
2025-06-19 13:53:19,0.8,0.3,0.2
2025-06-19 13:54:19,1.4,0.4,0.2
2025-06-19 13:55:19,1.9,0.5,0.1
2025-06-19 13:56:19,1.5,0.5,0.2
2025-06-19 13:57:19,1.5,0.5,0.3
2025-06-19 13:58:19,1.6,0.4,0.1
2025-06-19 13:59:19,3.5,0.8,0.2
2025-06-19 14:00:19,2.5,0.7,0.2
2025-06-19 14:01:19,0.8,0.3,0.1
2025-06-19 14:02:19,0.5,0.2,0.1
2025-06-19 14:03:19,0.8,0.4,0.2
2025-06-19 14:04:19,0.2,0.1,0.1
2025-06-19 14:05:19,0.1,0.1,0.1
2025-06-19 14:06:19,0.2,0.1,0.1
2025-06-19 14:07:19,0.6,0.2,0.1
2025-06-19 14:08:19,0.8,0.3,0.1
2025-06-19 14:09:19,1.7,0.5,0.2
2025-06-19 14:10:19,3.6,0.6,0.1
2025-06-19 14:11:19,1.4,0.4,0.2
2025-06-19 14:12:19,1.6,0.4,0.1
2025-06-19 14:13:19,1.8,0.4,0.1
2025-06-19 14:14:19,1.2,0.2,0.1
2025-06-19 14:15:19,0.5,0.2,0.1
2025-06-19 14:16:19,0.7,0.2,0.1
2025-06-19 14:17:19,1,0.5,0.2
2025-06-19 14:18:19,2.8,0.7,0.2
2025-06-19 14:19:19,2.5,0.6,0.2
2025-06-19 14:20:19,0.9,0.3,0.1
2025-06-19 14:21:19,0.4,0.1,0.1
2025-06-19 14:22:19,1.2,0.2,0.1
2025-06-19 14:28:20,0.4,0.1,0
2025-06-19 14:29:20,0.2,0.1,0
2025-06-19 14:30:20,0.6,0.2,0.1
2025-06-19 14:31:20,0.2,0.1,0.1
2025-06-19 14:32:20,0.2,0,0
2025-06-19 14:33:20,0,0,0
2025-06-19 14:34:20,0.4,0.1,0.1
2025-06-19 14:35:20,0.1,0.1,0
2025-06-19 14:36:20,0.3,0.2,0.1
2025-06-19 14:37:20,0.9,0.3,0.1
2025-06-19 14:38:20,0.8,0.4,0.2
2025-06-19 14:39:20,0.6,0.3,0.1
2025-06-19 14:40:20,0.8,0.3,0.1
2025-06-19 14:41:20,0.7,0.2,0.1
2025-06-19 14:42:20,0.5,0.2,0.1
2025-06-19 14:43:20,0.4,0.2,0.2
2025-06-19 14:44:20,0.4,0.3,0.1
2025-06-19 14:45:20,0.6,0.3,0.1
2025-06-19 14:46:20,0.2,0.1,0.1
2025-06-19 14:47:20,0.4,0.2,0.1
2025-06-19 14:48:20,0.2,0.1,0.1
2025-06-19 14:49:20,0.2,0.1,0.1
2025-06-19 14:50:20,0.4,0.1,0.1
2025-06-19 14:51:20,0.6,0.2,0.1
2025-06-19 14:52:20,0.7,0.3,0.1
2025-06-19 14:53:20,0.7,0.4,0.2
2025-06-19 14:54:20,0.5,0.2,0.1
2025-06-19 14:55:20,0.5,0.1,0.1
2025-06-19 14:56:20,0.1,0.1,0
2025-06-19 14:57:20,0.1,0.1,0
2025-06-19 14:58:20,0.9,0.2,0.1
2025-06-19 14:59:20,0.2,0.1,0
2025-06-19 15:00:20,0.2,0.1,0
2025-06-19 15:01:20,0.8,0.3,0.1
2025-06-19 15:02:20,2.4,0.6,0.2
2025-06-19 15:03:20,3,0.9,0.3
2025-06-19 15:04:20,2,0.5,0.2
2025-06-19 15:05:20,1.3,0.3,0.1
2025-06-19 15:06:20,0.5,0.2,0.1
2025-06-19 15:07:20,0.3,0.1,0.1
2025-06-19 15:08:20,0.2,0.1,0
2025-06-19 15:09:20,0.1,0.1,0
2025-06-19 15:10:20,0.4,0.1,0
2025-06-19 15:11:20,0.3,0.1,0
2025-06-19 15:12:20,0.1,0.1,0.1
2025-06-19 15:13:20,0.4,0.2,0.1
2025-06-19 15:14:20,0.3,0.2,0.1
2025-06-19 15:15:20,0.1,0.1,0.1
2025-06-19 15:16:20,1.3,0.3,0.2
2025-06-19 15:17:20,4.8,1.1,0.4
2025-06-19 15:18:20,3.8,0.9,0.3
2025-06-19 15:19:20,7.5,1.6,0.6
2025-06-19 15:20:20,8.4,1.7,0.6
2025-06-19 15:21:20,10.5,2,0.6
2025-06-19 15:22:20,9.9,2.3,0.7
2025-06-19 15:23:20,7.7,1.7,0.6
2025-06-19 15:24:20,4.6,1.1,0.5
2025-06-19 15:25:20,4.3,1.1,0.4
2025-06-19 15:26:20,5.3,1.5,0.5
2025-06-19 15:27:20,4.5,1.1,0.4
2025-06-19 15:28:20,3.2,0.8,0.3
2025-06-19 15:29:20,1.8,0.5,0.2
2025-06-19 15:30:20,1,0.6,0.2
2025-06-19 15:31:20,0.8,0.3,0.1
2025-06-19 15:32:20,0.8,0.2,0.1
2025-06-19 15:33:20,0.7,0.2,0.1
2025-06-19 15:34:20,0.6,0.2,0.1
2025-06-19 15:35:20,1.6,0.4,0.1
2025-06-19 15:36:20,2.2,0.6,0.2
2025-06-19 15:37:20,2.1,0.7,0.2
2025-06-19 15:38:20,3.2,0.7,0.2
2025-06-19 15:39:20,3.8,0.9,0.3
2025-06-19 15:40:20,3.3,0.7,0.3
2025-06-19 15:41:20,3.2,0.9,0.3
2025-06-19 15:42:20,2.2,0.4,0.2
2025-06-19 15:43:20,0.7,0.5,0.2
2025-06-19 15:44:20,1.2,0.4,0.1
2025-06-19 15:45:20,0.5,0.3,0.1
2025-06-19 15:46:20,0.2,0.1,0
2025-06-19 15:47:20,0.5,0.2,0.1
2025-06-19 15:48:20,0.3,0.2,0.1
2025-06-19 15:49:20,0.4,0.2,0.1
2025-06-19 15:50:20,0.2,0.1,0
2025-06-19 15:51:20,0.1,0,0
2025-06-19 15:52:20,0,0,0
2025-06-19 15:53:20,0.1,0,0
2025-06-19 15:54:20,0.2,0.1,0
2025-06-19 15:55:20,0.4,0.2,0.1
2025-06-19 15:56:20,0.7,0.1,0.1
2025-06-19 15:57:20,0.4,0.1,0.1
2025-06-19 15:58:20,0.7,0.3,0.1
2025-06-19 15:59:20,0.3,0.2,0.1
2025-06-19 16:00:20,0.4,0.2,0.1
2025-06-19 16:01:20,1,0.3,0.1
2025-06-19 16:02:20,0.6,0.2,0.1
2025-06-19 16:03:20,2.4,0.4,0.2
2025-06-19 16:04:20,2.8,0.8,0.3
2025-06-19 16:05:20,2.2,0.6,0.2
2025-06-19 16:06:20,0.9,0.3,0.1
2025-06-19 16:07:20,0.2,0.1,0.1
2025-06-19 16:08:20,0.3,0.2,0.1
2025-06-19 16:09:20,0.5,0.2,0.1
2025-06-19 16:10:20,0.8,0.2,0.1
2025-06-19 16:11:20,0.9,0.3,0.1
2025-06-19 16:12:20,0.4,0.2,0.1
2025-06-19 16:13:20,0.2,0.1,0.1
2025-06-19 16:14:20,0.2,0.1,0.1
2025-06-19 16:15:20,0.2,0.2,0.1
2025-06-19 16:16:20,0.3,0.1,0
