date,AE33,AE36,MAAP,orden
2026-08-02T10:15:00Z,99.17241379310339,15.753424657534202,40,13851
2026-08-02T10:20:00Z,99.17241379310339,15.753424657534202,20,13852
2026-08-02T10:25:00Z,99.17241379310339,15.753424657534202,0,13853
2026-08-02T10:30:00Z,99.17241379310339,15.753424657534202,60,13854
2026-08-02T10:35:00Z,191.903448275862,10.582942996023002,0,13855
2026-08-02T10:40:00Z,331,9.290322580645158,290.00000000000006,13856
2026-08-02T10:45:00Z,331,9.290322580645158,40,13857
2026-08-02T10:50:00Z,152.6,9.290322580645158,70,13858
2026-08-02T10:55:00Z,108,9.290322580645158,130,13859
2026-08-02T11:00:00Z,108,9.290322580645158,370,13860
2026-08-02T11:05:00Z,108,9.290322580645158,90,13861
2026-08-02T11:10:00Z,108,9.290322580645158,30,13862
2026-08-02T11:15:00Z,108,9.290322580645158,140,13863
2026-08-02T11:20:00Z,163.42222222222202,9.290322580645158,70,13864
2026-08-02T11:25:00Z,385.111111111111,9.290322580645158,50,13865
2026-08-02T11:30:00Z,297.4,9.290322580645158,40,13866
2026-08-02T11:35:00Z,165.83333333333303,9.290322580645158,10,13867
2026-08-02T11:40:00Z,165.83333333333303,9.290322580645158,0,13868
2026-08-02T11:45:00Z,165.83333333333303,9.290322580645158,210.00000000000003,13869
2026-08-02T11:50:00Z,310.42380952381,9.290322580645158,400,13870
2026-08-02T11:55:00Z,346.57142857142895,9.290322580645158,200,13871
2026-08-02T12:00:00Z,346.57142857142895,9.290322580645158,70,13872
2026-08-02T12:05:00Z,27.6713286713287,17.6548995739501,60,13873
2026-08-02T12:10:00Z,27.6713286713287,51.1132075471698,20,13874
2026-08-02T12:15:00Z,27.6713286713287,51.1132075471698,0,13875
2026-08-02T12:20:00Z,27.6713286713287,51.1132075471698,0,13876
2026-08-02T12:25:00Z,27.6713286713287,51.1132075471698,130,13877
2026-08-02T12:30:00Z,27.6713286713287,51.1132075471698,50,13878
2026-08-02T12:35:00Z,27.6713286713287,51.1132075471698,360,13879
2026-08-02T12:40:00Z,27.6713286713287,51.1132075471698,180,13880
2026-08-02T12:45:00Z,27.6713286713287,51.1132075471698,130,13881
2026-08-02T12:50:00Z,27.6713286713287,51.1132075471698,30,13882
2026-08-02T12:55:00Z,27.6713286713287,51.1132075471698,80,13883
2026-08-02T13:00:00Z,27.6713286713287,30.285283018867894,500,13884
2026-08-02T13:05:00Z,27.6713286713287,16.4,130,13885
2026-08-02T13:10:00Z,27.6713286713287,16.4,70,13886
2026-08-02T13:15:00Z,27.6713286713287,16.4,220,13887
2026-08-02T13:20:00Z,27.6713286713287,16.4,0,13888
2026-08-02T13:25:00Z,27.6713286713287,16.4,10,13889
2026-08-02T13:30:00Z,27.6713286713287,68.5364705882353,30,13890
2026-08-02T13:35:00Z,27.6713286713287,103.29411764705901,0,13891
2026-08-02T13:40:00Z,27.6713286713287,103.29411764705901,0,13892
2026-08-02T13:45:00Z,27.6713286713287,99.13529411764709,0,13893
2026-08-02T13:50:00Z,27.6713286713287,133.67142857142903,0,13894
2026-08-02T13:55:00Z,27.6713286713287,210.428571428571,0,13895
2026-08-02T14:00:00Z,27.6713286713287,210.428571428571,0,13896
2026-08-02T14:05:00Z,27.6713286713287,110.086813186813,0,13897
2026-08-02T14:10:00Z,27.6713286713287,43.19230769230771,0,13898
2026-08-02T14:15:00Z,27.6713286713287,43.19230769230771,0,13899
2026-08-02T14:20:00Z,27.6713286713287,43.19230769230771,10,13900
